;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Vitoria;21 June 1813;First French Empire;Joseph Bonaparte	Jean-Baptiste Jourdan	Honoré Théodore Maxime Gazan de la Peyrière;Vitoria, Spain;Allied victory;Arthur Wellesley, 1st Duke of Wellington	Thomas Graham, 1st Baron Lynedoch	Rowland Hill, 1st Viscount Hill	George Ramsay, 9th Earl of Dalhousie	Wikimedia Error	Wikimedia Error;5,200 killed or wounded	2,800 captured[1]	151 guns lost	baggage train captured;60,000	49,000 infantry	11,000 cavalry	151 guns;5,158 killed or wounded[2]	3,675 British	921 Portuguese	562 Spanish;82,000	57,000 British	16,000 Portuguese	8,000 Spanish	96 guns;United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Spain
Battle of the Pyrenees;25 July to 2 August 1813;First French Empire;Jean-de-Dieu Soult;North Pyrenees, Spain;Allied victory;Arthur Wellesley, 1st Duke of Wellington	Wikimedia Error;12,501[3];79,000[1];7,000[4];62,000[2];United Kingdom of Great Britain and Ireland	Kingdom of Portugal
Battle of Sorauren;28 July – 1 August 1813;United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Wikimedia Error;Arthur Wellesley, 1st Duke of Wellington;Sorauren, Navarre, Spain;Allied victory;Jean-de-Dieu Soult;2,600 dead or wounded;24,000 men;4,000 dead or wounded;30,000 men;First French Empire
Battle of Dresden;26–27 August 1813;First French Empire;Napoleon;Dresden, Kingdom of Saxony;French victory;Karl Philipp, Prince of Schwarzenberg;10,000 killed or wounded;135,000;38,000 killed, wounded, or captured	40 guns lost;214,000;Austrian Empire	Russian Empire	Kingdom of Prussia
Battle of San Marcial;31 August 1813;First French Empire;Jean-de-Dieu Soult;Near Irun, Spain;Spanish victory[1];Manuel Freire de Andrade	Wikimedia Error;4,000 dead or wounded[1];18,000[2];2,500 dead or wounded[1];16,000[3];Spain	United Kingdom of Great Britain and Ireland
Battle of Dennewitz;6 September 1813;First French Empire;Michel Ney	Henri Gatien Bertrand	Wikimedia Error	Nicolas Oudinot	Jean-Toussaint Arrighi de Casanova;South of Berlin;Coalition victory;Charles XIV John of Sweden	Friedrich Wilhelm Freiherr von Bülow	Bogislav Friedrich Emanuel von Tauentzien	Curt von Stedingk;33,000-34,000[1][2][3];58,000;7,000–10,000;80,000;Kingdom of Prussia	Russian Empire	Sweden
Battle of Lake Erie;10 September 1813;United States;Oliver Hazard Perry	Jesse Elliott;Lake Erie, near Put-in-Bay, OhioCoordinates: 41°39′44″N 82°49′30″W﻿ / ﻿41.66222°N 82.82500°W;American victory;Robert Heriot Barclay;27 killed	96 wounded	1 brig severely damaged;5 schooners	3 brigs	1 sloop	540 men	1,536lb broadside[2];41 killed	93 wounded	306 captured	entire squadron captured;2 ships	1 brig	2 schooners	1 sloop	450 men	804lb total broadside[3][2];United Kingdom of Great Britain and Ireland
Battle of Vilcapugio;1 October 1813;United Provinces of the Rio de la Plata	Republiquetas;Manuel Belgrano;Bolivia19°2′12.79″S 66°35′31.19″W﻿ / ﻿19.0368861°S 66.5919972°WCoordinates: 19°2′12.79″S 66°35′31.19″W﻿ / ﻿19.0368861°S 66.5919972°W;Royalist victory;Wikimedia Error;350 dead;3,400 soldiers	14 cannons;200 dead;3,500 soldiers	12 cannons;Spanish Empire	Viceroyalty of Peru
Battle of the Thames;October 5, 1813;Tecumseh's Confederacy	British Empire;Tecumseh	Roundhead (Wyandot)	Henry Procter (British Army officer);Near Moravian of the Thames First Nation in Chatham-Kent, Ontario42°33′45″N 81°55′53″W﻿ / ﻿42.56250°N 81.93139°WCoordinates: 42°33′45″N 81°55′53″W﻿ / ﻿42.56250°N 81.93139°W;American victory[1][2] Death of Tecumseh Fall of the Tecumseh Confederacy;William Henry Harrison;Indians:	16–33 killed[4][5]	Unknown wounded and captured	British:	12–18 killed	22–35 wounded prisoners	566–579 captured[6][7];1,300[3]–1,600:[1]	Native:	500[3]–1,000[1]	British:	600[1]–800[3] regulars;10–27 killed	17–57 wounded[8][9];3,760+:	2,381 militia	1,000 volunteer mounted troops	120 regulars	260 Indians[3]	Unknown number of US Navy forces in Lake Erie[1];United States
Battle of Leipzig;16–19 October 1813;Austrian Empire	Duchy of Mecklenburg-Schwerin	Kingdom of Prussia	Russian Empire	Kingdom of Saxony	Sweden	Kingdom of Württemberg;Alexander I of Russia	Karl Philipp, Prince of Schwarzenberg	Gebhard Leberecht von Blücher	Levin August von Bennigsen	Charles XIV John of Sweden;Leipzig, Saxony51°18′44″N 12°24′47″E﻿ / ﻿51.31222°N 12.41306°ECoordinates: 51°18′44″N 12°24′47″E﻿ / ﻿51.31222°N 12.41306°E;Decisive Coalition victory;Napoleon	Pierre Augereau	Louis-Alexandre Berthier	Jacques MacDonald	Wikimedia Error	Michel Ney	Józef Poniatowski	Joachim Murat	Frederick Augustus I of Saxony;54,000 killed and wounded:[2]	34,000 (Army of Bohemia)	12,000 (Army of Silesia)	4,000 (Army of the North)	4,000 (Army of Poland);October 16–17: 257,000 men[2]	1,400 guns[2]	October 18–19: 365,000 men[2]	145,000	115,000	90,000	25,000	6,000[3]	1,500 guns[2];73,000[5]	38,000 killed and wounded	30,000 captured	5,000 defected	325 guns;October 16–17: 177,000 men[2]	700 guns[4]	October 18–19: 195,000 men[2]	160,000[4]	40,000	15,000	10,000	700 guns[2];First French Empire	Grand Duchy of Baden	Duchy of Warsaw	Kingdom of Italy (Napoleonic)	Kingdom of Naples (Napoleonic)	Kingdom of Saxony	Kingdom of Württemberg
Battle of the Chateauguay;26 October 1813;Lower Canada	Mohawk people;Charles de Salaberry;Allan's Corners, near present-day Ormstown, Quebec;Lower Canadian-Mohawk victory;Wade Hampton I;22 killed, wounded or missing[3][4];1,530[1];85 killed, wounded or missing[5];2,600[2];United States
Battle of Hanau;30–31 October 1813;First French Empire;Napoleon;Hanau, Grand Duchy of Frankfurt;French victory;Karl Philipp von Wrede;4,500 dead and wounded[1]	1,300 prisoners;17,000, 60 cannons;9,000 dead and wounded;43,000, 134 cannons;Kingdom of Bavaria	Austrian Empire
Battle of Talladega;November 9, 1813;Red Sticks	Muscogee;William Weatherford;Mississippi Territory;U.S. victory;Andrew Jackson;~300 killed,	~110 wounded[1];~700 warriors;15 killed	~85 wounded[1];~1,200 infantry	~800 cavalry;United States
Battle of Nivelle;10 November 1813;First French Empire;Jean-de-Dieu Soult;River Nivelle, France;Allied victory;Arthur Wellesley, 1st Duke of Wellington	Sir John Hamilton, 1st Baronet, of Woodbrook;4,351 killed or wounded;60,000;2,450 killed or wounded;80,000;United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Spain
Battle of Crysler's Farm;11 November 1813;United Kingdom of Great Britain and Ireland	Upper Canada;Joseph Wanton Morrison	William Mulcaster;Morrisburg, Lower Canada, North America44°56′2.4″N 75°5′49.2″W﻿ / ﻿44.934000°N 75.097000°WCoordinates: 44°56′2.4″N 75°5′49.2″W﻿ / ﻿44.934000°N 75.097000°W;British victory[1];James Wilkinson	John Parker Boyd	Wikimedia Error;192 killed, wounded or missing[2];900;359 killed, wounded or missing[3][3][4];8,000;United States
Battle of Ayohuma;14 November 1813;United Provinces of the Rio de la Plata	Republiquetas;Manuel Belgrano;Bolivia18°51′21″S 66°8′5″W﻿ / ﻿18.85583°S 66.13472°WCoordinates: 18°51′21″S 66°8′5″W﻿ / ﻿18.85583°S 66.13472°W;Royalist victoryWithdrawal of the Army of the North towards Jujuy and Salta;Joaquín de la Pezuela, 1st Marquess of Viluma;200 dead	200 wounded	500 prisoners;3400 soldiers	8 cannons;42 dead	96 wounded;3500 soldiers	18 cannons;Spanish Empire
Battle of Brienne;29 January 1814;First French Empire;Napoleon	Michel Ney	Claude Victor-Perrin, Duc de Belluno;Brienne-le-Château, France;French victory[1]Inconclusive[2];Gebhard Leberecht von Blücher	Fabian Gottlieb von der Osten-Sacken	Zakhar Dmitrievich Olsufiev;3,000–3,500, 8–11 guns;36,000;3,000–4,000;28,000;Kingdom of Prussia	Russian Empire
Battle of La Rothière;1 February 1814;Kingdom of Prussia	Russian Empire	Austrian Empire	Kingdom of Bavaria	Kingdom of Württemberg;Gebhard Leberecht von Blücher;La Rothière, France;Coalition tactical victoryFrench strategic victory;Napoleon;6,000–7,000 dead or wounded[1];110,000;4,600 dead or wounded	1,000 captured	73 guns[1];45,000	128 guns;First French Empire
Battle of Champaubert;10 February 1814;First French Empire;Napoleon	Auguste de Marmont;Champaubert, France48°52′51″N 3°46′33″E﻿ / ﻿48.8809°N 3.7759°ECoordinates: 48°52′51″N 3°46′33″E﻿ / ﻿48.8809°N 3.7759°E;French victory;Zakhar Dmitrievich Olsufiev;200–600;15,000–30,000, 120 guns;2,400–3,294, 9–21 guns;3,700–5,166, 24 guns;Russian Empire
Battle of Montmirail;11 February 1814;First French Empire;Napoleon;Montmirail, France;French victory;Fabian Gottlieb von der Osten-Sacken	Ludwig Yorck von Wartenburg;2,000;20,000;Total: 3,700	2,800, 9–26 guns	900;Total: 27,000	18,000, 90 guns	9,000, 16 guns;Russian Empire	Kingdom of Prussia
Battle of Château-Thierry (1814);12 February 1814;First French Empire;Napoleon	Michel Ney	Édouard Mortier, Duke of Trévise;Château-Thierry, France;French victory;Ludwig Yorck von Wartenburg	Fabian Gottlieb von der Osten-Sacken;400–600;20,000;Total: 2,751, 9 guns	1,251, 6 guns	1,500, 3 guns;Total: 34,000	17,000	17,000;Kingdom of Prussia	Russian Empire
Battle of Vauchamps;14 February 1814;First French Empire;Napoleon	Auguste de Marmont	Emmanuel de Grouchy, marquis de Grouchy;Vauchamps, France;French victory;Gebhard Leberecht von Blücher	Friedrich Graf Kleist von Nollendorf	Peter Mikhailovich Kaptzevich;600 men[2];10,000[1];9,000 men	15 artillery pieces	10 flags[3];21,500[1];Kingdom of Prussia	Russian Empire
Battle of Montereau;18 February 1814;First French Empire;Napoleon;Montereau-Fault-Yonne, France;French victory;William I of Württemberg;2,500–3,000;30,000, 70–80 guns;5,000–6,000, 2–15 guns;15,000–18,000, 40 guns;Kingdom of Württemberg	Austrian Empire
Battle of Bar-sur-Aube;27 February 1814;First French Empire;Jacques MacDonald;Bar-sur-Aube, France;Allied victory;Karl Philipp, Prince of Schwarzenberg	Peter Wittgenstein	Karl Philipp von Wrede;3,100, 2 guns;18,000, 60 guns;1,900;30,000, 70 guns;Austrian Empire	Russian Empire	Kingdom of Bavaria
Battle of Orthez;27 February 1814;United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Spain;Arthur Wellesley, 1st Duke of Wellington;Orthez, Pyrénées Atlantiques, France;Allied victory;Jean-de-Dieu Soult;2,174;44,000	54 guns;3,985	6 guns lost;36,000	48 guns;First French Empire
Battle of Longwoods;4 March 1814;United Kingdom of Great Britain and Ireland	Upper Canada	First Nations;James Lewis Basden;Near London in present-day Southwest Middlesex, OntarioCoordinates: 42°41′39″N 81°42′18″W﻿ / ﻿42.69417°N 81.70500°W;American victory;Wikimedia Error;14 killed	52 wounded (including 1 prisoner)	1 missing[3];240[1];4 killed	3 wounded[4];164[2];United States
Battle of Craonne;7 March 1814;First French Empire;Napoleon	Michel Ney	Étienne Marie Antoine Champion de Nansouty;Craonne, France;French victory;Gebhard Leberecht von Blücher	Mikhail Semyonovich Vorontsov;8,000[1];Overall: 48,000	Craonne: 30,000, 102 guns[1];5,000[1];Overall: 110,000	Craonne: 22,300, 96 guns[1];Kingdom of Prussia	Russian Empire
Battle of Laon;9–10 March 1814;First French Empire;Napoleon;Laon, France;Coalition victory;Gebhard Leberecht von Blücher	August Neidhardt von Gneisenau	Wikimedia Error;6,500[3];37,000[1];4,000[4];90,000[2];Kingdom of Prussia	Russian Empire
Battle of Reims (1814);12–13 March 1814;First French Empire;Napoleon	Jean-Marie Defrance;Reims, France;French victory;Guillaume Emmanuel Guignard, vicomte de Saint-Priest	Georgi Emmanuel	Friedrich Wilhelm von Jagow;12 March:	1,200–2,500, 11 guns	13 March:	700–900;10,000;12 March: unknown	13 March:	1,400, 12 guns	1,300, 10 guns;7,800	5,600;Russian Empire	Kingdom of Prussia
Battle of Arcis-sur-Aube;20–21 March 1814;Austrian Empire	Russian Empire	Kingdom of Bavaria	Kingdom of Württemberg;Karl Philipp, Prince of Schwarzenberg	Alexander I of Russia	Karl Philipp von Wrede	William I of Württemberg;Arcis-sur-Aube, France48°32′05″N 4°08′23″E﻿ / ﻿48.5347°N 4.1397°ECoordinates: 48°32′05″N 4°08′23″E﻿ / ﻿48.5347°N 4.1397°E;Coalition strategic victory, Napoleon retreats and the Coalition advances on Paris Tactically French victory, Napoleon's forces escape pursuit after inflicting similar casualties on the Coalition;Napoleon	Michel Ney	Nicolas Oudinot	Horace François Bastien Sébastiani de La Porta;3,000–4,000;74,000–108,000;3,000–4,200, 3 guns;Day 1: 18,000	Day 2: 28,000–30,000;First French Empire
Battle of Fère-Champenoise;25 March 1814;Austrian Empire	Russian Empire	Kingdom of Prussia	Württemberg;Karl Philipp, Prince of Schwarzenberg	Alexander I of Russia	Frederick William III of Prussia	William I of Württemberg	Wikimedia Error	Wikimedia Error;near Fère-Champenoise, France;Coalition victory;Auguste de Marmont	Wikimedia Error	Michel-Marie Pacthod;2,000-4,000;26,400	128 guns	180,000 reinforcements;10,000	60-80 guns lost	225-250 wagons captured;22,450	84 guns;First French Empire
Battle of Horseshoe Bend (1814);March 27, 1814;Red Sticks	Muscogee;Menawa;Near Dadeville, Alabama;Decisive U.S. & allied Native American victory;Andrew Jackson	James C. Neill;857 killed,	206 wounded[1];~1,000 warriors;American:	47 killed	159 wounded	Native American:	23 killed	47 wounded[1];American: ~2,000 infantry,	~700 cavalry,	unknown artillery	Native American: ~600 warriors;United States	Muscogee	Cherokee	Choctaw
Battle of Montmartre;30–31 March 1814;First French Empire;Joseph Bonaparte	Auguste de Marmont	Bon-Adrien Jeannot de Moncey	Édouard Mortier, Duke of Trévise;Paris, France;Decisive Coalition victory Emperor Napoleon is defeated, abdicates the throne and is exiled to Elba Treaty of Fontainebleau End of the War of the Sixth Coalition;Alexander I of Russia	Michael Andreas Barclay de Tolly	Louis Alexandre Andrault de Langeron	Karl Philipp, Prince of Schwarzenberg	Ignác Gyulay	Frederick William III of Prussia	Gebhard Leberecht von Blücher;5,000;23,000 regulars	6,000 National Guards;18,000;155,000	100,000 Russians	40,000 Prussians	15,000 Austrians and German allies;Russian Empire	Austrian Empire	Kingdom of Prussia
Battle of Toulouse (1814);10 April 1814;First French Empire;Jean-de-Dieu Soult;Toulouse, France;Indecisive Allied victory[1][2] and French victory [3][4] are both claimed.;Arthur Wellesley, 1st Duke of Wellington;321 killed	2,369 wounded[7];42,430[5];593 killed	5,024 wounded[7];49,446[6];United Kingdom of Great Britain and Ireland	Spain	Kingdom of Portugal
Battle of Chippawa;July 5, 1814;United Kingdom of Great Britain and Ireland;Phineas Riall;Chippawa, Upper Canada (present-day Ontario)43°03′08″N 79°01′29″W﻿ / ﻿43.052127°N 79.024720°W;American victory;Jacob Brown	Winfield Scott	Peter Buell Porter;108 dead	319 wounded	75 wounded prisoners	15 captured	18 missing[2][3][4][5][6];2,000[1];60 killed	249 wounded	19 missing[7];3,564, of which 2,109 were engaged[1];United States
Battle of Lundy's Lane;25July1814;United Kingdom of Great Britain and Ireland	Upper Canada;Gordon Drummond	Phineas Riall;Niagara Falls, Ontario43°05′21″N 79°05′44″W﻿ / ﻿43.0891°N 79.0955°W;Indecisive(See Aftermath);Jacob Brown	Winfield Scott	Eleazer Wheelock Ripley;84 dead	559 wounded	169 captured	55 missing	Total: 878[3][4];At start:	1,800: 5 guns	Reinforcements:	1,700: 3 guns[1]	Total: 3,500, 8 guns;174 dead	572 wounded	79 captured	28 missing	Total: 853[5][6][7];At start:	1,000: 3 guns	Reinforcements:	1,500: 6 guns[2]	Total: 2,500, 9 guns;United States
Battle of Mackinac Island (1814);26 July – 4 August 1814;United Kingdom of Great Britain and Ireland	Indigenous peoples of the Americas;Robert McDouall	Robert Dickson (fur trader);Mackinac Island, Michigan;British victory;George Croghan (soldier)	Wikimedia Error	Arthur Sinclair;1 dead,	1 wounded;150 Native Americans,	140 regulars,	25 militia (untrained)[1];13 dead,	55 wounded;700;United States
Battle of Bladensburg;24 August 1814;United States;James Madison	James Monroe	William H. Winder	Joshua Barney;Bladensburg, Maryland, U.S.38°56′12″N 76°56′15″W﻿ / ﻿38.93667°N 76.93750°WCoordinates: 38°56′12″N 76°56′15″W﻿ / ﻿38.93667°N 76.93750°W;British victory Burning of Washington;Robert Ross (British Army officer)	Sir George Cockburn, 10th Baronet;10-26 killed	40-51 wounded	100-120 captured[3][4]	Total:	150-197;6,500 militia (Maryland and District of Columbia)	420 (marines, sailors, regulars)	18 guns;64 killed	185 wounded[3][5][6]	Total:	249;1,500 (marines, sailors, regulars)[1]	60 rockets[2][Note 1]	Reserve:	3,000 (marines, sailors, regulars)	3 guns;United Kingdom of Great Britain and Ireland
Battle of Lake Champlain (1814);6–11 September 1814;United States;Thomas Macdonough	Alexander Macomb (general);Plattsburgh, New York;American victory;George Prévost	George Downie;104 killed	116 wounded[5]	Total: 220;6,354	Regulars: 3,454	2,651 fit to fight	803 invalids	Militia: 2,900	Vermont Militia: 2,200	New York Militia: 700	[1]	1 corvette	1 brig	1 schooner	1 sloop	10 gunboats[2];168 killed	220 wounded[5]	317 captured	234 deserted[6]	1 frigate captured	1 brig captured	2 sloops captured[7]	Total: 939;11,000[3]	(9,067 engaged)[4]	1 frigate	1 brig	2 sloops	12 gunboats[2];United Kingdom of Great Britain and Ireland	Lower Canada
Battle of North Point;September 12, 1814;United States;Samuel Smith (Maryland)	John Stricker;North Point, MarylandCoordinates: 39°16′44″N 76°29′15″W﻿ / ﻿39.2789°N 76.4876°W;British tactical victory[1]American strategic victory[2]British advance delayed;Robert Ross (British Army officer)	Arthur Brooke (British Army officer);24 Killed	139 Wounded	50 Captured [3];3,200 [3];42-46 Killed	279-295 Wounded [3][4][5]	1 missing[6];4,000 [3];United Kingdom of Great Britain and Ireland
Battle of Baltimore;September 12–15, 1814;United States;Samuel Smith (Maryland)	John Stricker	George Armistead;Baltimore, Maryland;"American victory; British withdrawal";Robert Ross (British Army officer)	Alexander Cochrane	Arthur Brooke (British Army officer);North Point:	24 killed,	139 wounded,	50 captured	Fort McHenry:	4 killed,	24 wounded	Total:	28 killed,	163 wounded,	50 captured[4];North Point:	2,000	infantry,	militia	Fort McHenry:	1,000	infantry,	militia,	20 artillery pieces[2]	Additional Defense:	8,000 militia	150 artillery pieces	Total:	11,000;North Point:	42–46 killed,	279–295 wounded[5][6][7]	Fort McHenry:	1 wounded[8]	Total:	42–46 killed,	280–296 wounded;Land:	5,000 infantry	Sea:	19 warships[3];United Kingdom of Great Britain and Ireland
